Nos,Weeks,precipitation
1,1/1/1990,0
2,1/8/1990,0
3,1/15/1990,0
4,1/22/1990,0
5,1/29/1990,4
6,2/5/1990,0
7,2/12/1990,8
8,2/19/1990,66
9,2/26/1990,27
10,3/5/1990,10
11,3/12/1990,14
12,3/19/1990,57
13,3/26/1990,90
14,4/2/1990,68
15,4/9/1990,0
16,4/16/1990,3
17,4/23/1990,53
18,4/30/1990,30
19,5/7/1990,10
20,5/14/1990,110
21,5/21/1990,123
22,5/28/1990,163
23,6/4/1990,70
24,6/11/1990,49
25,6/18/1990,87
26,6/25/1990,97
27,7/2/1990,141
28,7/9/1990,115
29,7/16/1990,57
30,7/23/1990,135
31,7/30/1990,47
32,8/6/1990,64
33,8/13/1990,20
34,8/20/1990,171
35,8/27/1990,39
36,9/3/1990,20
37,9/10/1990,35
38,9/17/1990,36
39,9/24/1990,65
40,10/1/1990,99
41,10/8/1990,95
42,10/15/1990,0
43,10/22/1990,0
44,10/29/1990,22
45,11/5/1990,47
46,11/12/1990,1
47,11/19/1990,0
48,11/26/1990,0
49,12/3/1990,0
50,12/10/1990,0
51,12/17/1990,30
52,12/24/1990,0
1,1/1/1991,10
2,1/8/1991,0
3,1/15/1991,0
4,1/22/1991,0
5,1/29/1991,14
6,2/5/1991,0
7,2/12/1991,0
8,2/19/1991,0
9,2/26/1991,0
10,3/5/1991,0
11,3/12/1991,20
12,3/19/1991,1
13,3/26/1991,18
14,4/2/1991,0
15,4/9/1991,52
16,4/16/1991,0
17,4/23/1991,0
18,4/30/1991,27
19,5/7/1991,4
20,5/14/1991,21
21,5/21/1991,62
22,5/28/1991,147
23,6/4/1991,136
24,6/11/1991,235
25,6/18/1991,113
26,6/25/1991,13
27,7/2/1991,44
28,7/9/1991,17
29,7/16/1991,238
30,7/23/1991,21
31,7/30/1991,122
32,8/6/1991,17
33,8/13/1991,68
34,8/20/1991,111
35,8/27/1991,86
36,9/3/1991,93
37,9/10/1991,25
38,9/17/1991,16
39,9/24/1991,94
40,10/1/1991,94
41,10/8/1991,318
42,10/15/1991,7
43,10/22/1991,4
44,10/29/1991,78
45,11/5/1991,0
46,11/12/1991,0
47,11/19/1991,50
48,11/26/1991,0
49,12/3/1991,0
50,12/10/1991,0
51,12/17/1991,0
52,12/24/1991,16
1,1/1/1992,0
2,1/8/1992,0
3,1/15/1992,0
4,1/22/1992,4
5,1/29/1992,14
6,2/5/1992,20
7,2/12/1992,51
8,2/19/1992,13
9,2/26/1992,0
10,3/4/1992,0
11,3/11/1992,0
12,3/18/1992,0
13,3/25/1992,0
14,4/1/1992,0
15,4/8/1992,0
16,4/15/1992,1
17,4/22/1992,0
18,4/29/1992,30
19,5/6/1992,0
20,5/13/1992,8
21,5/20/1992,115
22,5/27/1992,52
23,6/3/1992,24
24,6/10/1992,39
25,6/17/1992,63
26,6/24/1992,74
27,7/1/1992,29
28,7/8/1992,67
29,7/15/1992,125
30,7/22/1992,66
31,7/29/1992,112
32,8/5/1992,71
33,8/12/1992,90
34,8/19/1992,37
35,8/26/1992,23
36,9/2/1992,66
37,9/9/1992,84
38,9/16/1992,2
39,9/23/1992,53
40,9/30/1992,0
41,10/7/1992,4
42,10/14/1992,88
43,10/21/1992,6
44,10/28/1992,6
45,11/4/1992,0
46,11/11/1992,0
47,11/18/1992,2
48,11/25/1992,0
49,12/2/1992,0
50,12/9/1992,0
51,12/16/1992,0
52,12/23/1992,0
1,1/1/1993,0
2,1/8/1993,1
3,1/15/1993,0
4,1/22/1993,0
5,1/29/1993,0
6,2/5/1993,0
7,2/12/1993,0
8,2/19/1993,35
9,2/26/1993,0
10,3/5/1993,0
11,3/12/1993,0
12,3/19/1993,113
13,3/26/1993,122
14,4/2/1993,16
15,4/9/1993,64
16,4/16/1993,40
17,4/23/1993,10
18,4/30/1993,244
19,5/7/1993,95
20,5/14/1993,59
21,5/21/1993,0
22,5/28/1993,107
23,6/4/1993,6
24,6/11/1993,96
25,6/18/1993,226
26,6/25/1993,57
27,7/2/1993,26
28,7/9/1993,44
29,7/16/1993,193
30,7/23/1993,126
31,7/30/1993,83
32,8/6/1993,179
33,8/13/1993,32
34,8/20/1993,178
35,8/27/1993,41
36,9/3/1993,80
37,9/10/1993,31
38,9/17/1993,24
39,9/24/1993,83
40,10/1/1993,56
41,10/8/1993,1
42,10/15/1993,77
43,10/22/1993,0
44,10/29/1993,21
45,11/5/1993,0
46,11/12/1993,0
47,11/19/1993,0
48,11/26/1993,0
49,12/3/1993,0
50,12/10/1993,0
51,12/17/1993,0
52,12/24/1993,0
